Country,Prop,ISO2,position,Trait,ISO3,Country_map,popup_info,quants
Singapore,0.731212871231268,SG,All,Musculoskeletal disorders,SGP,Singapore,<b>Singapore</b><br/>0.73%,5
Belgium,0.663815978059298,BE,All,Musculoskeletal disorders,BEL,Belgium,<b>Belgium</b><br/>0.66%,5
United States,21.978021978022,US,First,Musculoskeletal disorders,USA,USA,<b>United States</b><br/>21.98%,8
United Kingdom,21.4285714285714,GB,First,Musculoskeletal disorders,GBR,UK,<b>United Kingdom</b><br/>21.43%,8
Spain,10.989010989011,ES,First,Musculoskeletal disorders,ESP,Spain,<b>Spain</b><br/>10.99%,8
Netherlands,7.78388278388278,NL,First,Musculoskeletal disorders,NLD,Netherlands,<b>Netherlands</b><br/>7.78%,8
Japan,7.05128205128205,JP,First,Musculoskeletal disorders,JPN,Japan,<b>Japan</b><br/>7.05%,8
Germany,4.21245421245421,DE,First,Musculoskeletal disorders,DEU,Germany,<b>Germany</b><br/>4.21%,7
Australia,3.84615384615385,AU,First,Musculoskeletal disorders,AUS,Australia,<b>Australia</b><br/>3.85%,7
South Korea,3.84615384615385,KR,First,Musculoskeletal disorders,KOR,South Korea,<b>South Korea</b><br/>3.85%,7
Iceland,3.75457875457875,IS,First,Musculoskeletal disorders,ISL,Iceland,<b>Iceland</b><br/>3.75%,7
China,2.74725274725275,CN,First,Musculoskeletal disorders,CHN,China,<b>China</b><br/>2.75%,7
Sweden,2.74725274725275,SE,First,Musculoskeletal disorders,SWE,Sweden,<b>Sweden</b><br/>2.75%,7
Denmark,1.0989010989011,DK,First,Musculoskeletal disorders,DNK,Denmark,<b>Denmark</b><br/>1.1%,6
Egypt,1.0989010989011,EG,First,Musculoskeletal disorders,EGY,Egypt,<b>Egypt</b><br/>1.1%,6
India,1.0989010989011,IN,First,Musculoskeletal disorders,IND,India,<b>India</b><br/>1.1%,6
Italy,1.0989010989011,IT,First,Musculoskeletal disorders,ITA,Italy,<b>Italy</b><br/>1.1%,6
South Africa,1.0989010989011,ZA,First,Musculoskeletal disorders,ZAF,South Africa,<b>South Africa</b><br/>1.1%,6
Greece,0.915750915750916,GR,First,Musculoskeletal disorders,GRC,Greece,<b>Greece</b><br/>0.92%,6
Norway,0.732600732600733,NO,First,Musculoskeletal disorders,NOR,Norway,<b>Norway</b><br/>0.73%,5
Canada,0.54945054945055,CA,First,Musculoskeletal disorders,CAN,Canada,<b>Canada</b><br/>0.55%,5
Malaysia,0.54945054945055,MY,First,Musculoskeletal disorders,MYS,Malaysia,<b>Malaysia</b><br/>0.55%,5
New Zealand,0.54945054945055,NZ,First,Musculoskeletal disorders,NZL,New Zealand,<b>New Zealand</b><br/>0.55%,5
United Kingdom,25.8241758241758,GB,Senior,Musculoskeletal disorders,GBR,UK,<b>United Kingdom</b><br/>25.82%,8
United States,21.043956043956,US,Senior,Musculoskeletal disorders,USA,USA,<b>United States</b><br/>21.04%,8
Spain,9.06593406593407,ES,Senior,Musculoskeletal disorders,ESP,Spain,<b>Spain</b><br/>9.07%,8
Netherlands,6.68498168498169,NL,Senior,Musculoskeletal disorders,NLD,Netherlands,<b>Netherlands</b><br/>6.68%,8
Japan,6.31868131868132,JP,Senior,Musculoskeletal disorders,JPN,Japan,<b>Japan</b><br/>6.32%,8
South Korea,4.94505494505495,KR,Senior,Musculoskeletal disorders,KOR,South Korea,<b>South Korea</b><br/>4.95%,8
Australia,4.3956043956044,AU,Senior,Musculoskeletal disorders,AUS,Australia,<b>Australia</b><br/>4.4%,8
Germany,4.3956043956044,DE,Senior,Musculoskeletal disorders,DEU,Germany,<b>Germany</b><br/>4.4%,8
Sweden,3.73626373626374,SE,Senior,Musculoskeletal disorders,SWE,Sweden,<b>Sweden</b><br/>3.74%,7
Iceland,3.47985347985348,IS,Senior,Musculoskeletal disorders,ISL,Iceland,<b>Iceland</b><br/>3.48%,7
South Africa,1.64835164835165,ZA,Senior,Musculoskeletal disorders,ZAF,South Africa,<b>South Africa</b><br/>1.65%,6
China,1.37362637362637,CN,Senior,Musculoskeletal disorders,CHN,China,<b>China</b><br/>1.37%,6
Denmark,1.0989010989011,DK,Senior,Musculoskeletal disorders,DNK,Denmark,<b>Denmark</b><br/>1.1%,6
Egypt,1.0989010989011,EG,Senior,Musculoskeletal disorders,EGY,Egypt,<b>Egypt</b><br/>1.1%,6
India,1.0989010989011,IN,Senior,Musculoskeletal disorders,IND,India,<b>India</b><br/>1.1%,6
Qatar,1.0989010989011,QA,Senior,Musculoskeletal disorders,QAT,Qatar,<b>Qatar</b><br/>1.1%,6
Canada,0.769230769230769,CA,Senior,Musculoskeletal disorders,CAN,Canada,<b>Canada</b><br/>0.77%,5
Turkey,0.54945054945055,TR,Senior,Musculoskeletal disorders,TUR,Turkey,<b>Turkey</b><br/>0.55%,5
Belgium,0.366300366300366,BE,Senior,Musculoskeletal disorders,BEL,Belgium,<b>Belgium</b><br/>0.37%,4
Greece,0.366300366300366,GR,Senior,Musculoskeletal disorders,GRC,Greece,<b>Greece</b><br/>0.37%,4
Norway,0.366300366300366,NO,Senior,Musculoskeletal disorders,NOR,Norway,<b>Norway</b><br/>0.37%,4
United States,46.1505242124801,US,All,Neurological disorders,USA,USA,<b>United States</b><br/>46.15%,8
United Kingdom,8.74483248381064,GB,All,Neurological disorders,GBR,UK,<b>United Kingdom</b><br/>8.74%,8
Germany,5.03225048756391,DE,All,Neurological disorders,DEU,Germany,<b>Germany</b><br/>5.03%,8
China,4.59420478684177,CN,All,Neurological disorders,CHN,China,<b>China</b><br/>4.59%,8
Italy,3.66629390065991,IT,All,Neurological disorders,ITA,Italy,<b>Italy</b><br/>3.67%,7
Japan,3.54017327682462,JP,All,Neurological disorders,JPN,Japan,<b>Japan</b><br/>3.54%,7
South Korea,3.22992258123897,KR,All,Neurological disorders,KOR,South Korea,<b>South Korea</b><br/>3.23%,7
Spain,3.16411964462278,ES,All,Neurological disorders,ESP,Spain,<b>Spain</b><br/>3.16%,7
Netherlands,3.11088156808816,NL,All,Neurological disorders,NLD,Netherlands,<b>Netherlands</b><br/>3.11%,7
Australia,2.81148027499398,AU,All,Neurological disorders,AUS,Australia,<b>Australia</b><br/>2.81%,7
Norway,2.597058050131,NO,All,Neurological disorders,NOR,Norway,<b>Norway</b><br/>2.6%,7
France,2.00536785067206,FR,All,Neurological disorders,FRA,France,<b>France</b><br/>2.01%,6
Canada,1.39271676164331,CA,All,Neurological disorders,CAN,Canada,<b>Canada</b><br/>1.39%,6
Finland,1.25632006117815,FI,All,Neurological disorders,FIN,Finland,<b>Finland</b><br/>1.26%,6
Belgium,1.06769683470538,BE,All,Neurological disorders,BEL,Belgium,<b>Belgium</b><br/>1.07%,6
Sweden,1.05503670325158,SE,All,Neurological disorders,SWE,Sweden,<b>Sweden</b><br/>1.06%,6
Denmark,0.907809583547477,DK,All,Neurological disorders,DNK,Denmark,<b>Denmark</b><br/>0.91%,6
Turkey,0.784478438588028,TR,All,Neurological disorders,TUR,Turkey,<b>Turkey</b><br/>0.78%,5
Israel,0.699969561059733,IL,All,Neurological disorders,ISR,Israel,<b>Israel</b><br/>0.7%,5
Poland,0.549081739477907,PL,All,Neurological disorders,POL,Poland,<b>Poland</b><br/>0.55%,5
United States,49.9809741248097,US,First,Neurological disorders,USA,USA,<b>United States</b><br/>49.98%,8
United Kingdom,9.34170471841705,GB,First,Neurological disorders,GBR,UK,<b>United Kingdom</b><br/>9.34%,8
China,4.94672754946728,CN,First,Neurological disorders,CHN,China,<b>China</b><br/>4.95%,8
Netherlands,4.29984779299848,NL,First,Neurological disorders,NLD,Netherlands,<b>Netherlands</b><br/>4.3%,8
Germany,3.99543378995434,DE,First,Neurological disorders,DEU,Germany,<b>Germany</b><br/>4%,7
South Korea,3.42465753424658,KR,First,Neurological disorders,KOR,South Korea,<b>South Korea</b><br/>3.42%,7
Japan,2.89193302891933,JP,First,Neurological disorders,JPN,Japan,<b>Japan</b><br/>2.89%,7
Italy,2.79680365296804,IT,First,Neurological disorders,ITA,Italy,<b>Italy</b><br/>2.8%,7
Australia,2.56849315068493,AU,First,Neurological disorders,AUS,Australia,<b>Australia</b><br/>2.57%,7
Spain,2.43531202435312,ES,First,Neurological disorders,ESP,Spain,<b>Spain</b><br/>2.44%,7
Belgium,1.94063926940639,BE,First,Neurological disorders,BEL,Belgium,<b>Belgium</b><br/>1.94%,6
Norway,1.94063926940639,NO,First,Neurological disorders,NOR,Norway,<b>Norway</b><br/>1.94%,6
France,1.75038051750381,FR,First,Neurological disorders,FRA,France,<b>France</b><br/>1.75%,6
Canada,1.71232876712329,CA,First,Neurological disorders,CAN,Canada,<b>Canada</b><br/>1.71%,6
Finland,1.25570776255708,FI,First,Neurological disorders,FIN,Finland,<b>Finland</b><br/>1.26%,6
Singapore,0.91324200913242,SG,First,Neurological disorders,SGP,Singapore,<b>Singapore</b><br/>0.91%,6
Sweden,0.494672754946728,SE,First,Neurological disorders,SWE,Sweden,<b>Sweden</b><br/>0.49%,5
Chile,0.45662100456621,CL,First,Neurological disorders,CHL,Chile,<b>Chile</b><br/>0.46%,5
Denmark,0.45662100456621,DK,First,Neurological disorders,DNK,Denmark,<b>Denmark</b><br/>0.46%,5
Iceland,0.45662100456621,IS,First,Neurological disorders,ISL,Iceland,<b>Iceland</b><br/>0.46%,5
Israel,0.45662100456621,IL,First,Neurological disorders,ISR,Israel,<b>Israel</b><br/>0.46%,5
Poland,0.45662100456621,PL,First,Neurological disorders,POL,Poland,<b>Poland</b><br/>0.46%,5
Portugal,0.45662100456621,PT,First,Neurological disorders,PRT,Portugal,<b>Portugal</b><br/>0.46%,5
United States,49.7599115749801,US,Senior,Neurological disorders,USA,USA,<b>United States</b><br/>49.76%,8
United Kingdom,9.81100963977676,GB,Senior,Neurological disorders,GBR,UK,<b>United Kingdom</b><br/>9.81%,8
Germany,4.57979995651229,DE,Senior,Neurological disorders,DEU,Germany,<b>Germany</b><br/>4.58%,8
China,4.18569254185693,CN,Senior,Neurological disorders,CHN,China,<b>China</b><br/>4.19%,7
Netherlands,4.06881930854534,NL,Senior,Neurological disorders,NLD,Netherlands,<b>Netherlands</b><br/>4.07%,7
South Korea,3.19634703196347,KR,Senior,Neurological disorders,KOR,South Korea,<b>South Korea</b><br/>3.2%,7
Norway,3.12024353120244,NO,Senior,Neurological disorders,NOR,Norway,<b>Norway</b><br/>3.12%,7
Japan,2.85388127853881,JP,Senior,Neurological disorders,JPN,Japan,<b>Japan</b><br/>2.85%,7
Australia,2.73972602739726,AU,Senior,Neurological disorders,AUS,Australia,<b>Australia</b><br/>2.74%,7
Italy,2.66362252663623,IT,Senior,Neurological disorders,ITA,Italy,<b>Italy</b><br/>2.66%,7
France,2.15807784300935,FR,Senior,Neurological disorders,FRA,France,<b>France</b><br/>2.16%,7
Spain,2.0221787345075,ES,Senior,Neurological disorders,ESP,Spain,<b>Spain</b><br/>2.02%,6
Belgium,1.36986301369863,BE,Senior,Neurological disorders,BEL,Belgium,<b>Belgium</b><br/>1.37%,6
Canada,1.36986301369863,CA,Senior,Neurological disorders,CAN,Canada,<b>Canada</b><br/>1.37%,6
Finland,1.04008117706748,FI,Senior,Neurological disorders,FIN,Finland,<b>Finland</b><br/>1.04%,6
Israel,0.91324200913242,IL,Senior,Neurological disorders,ISR,Israel,<b>Israel</b><br/>0.91%,6
Singapore,0.91324200913242,SG,Senior,Neurological disorders,SGP,Singapore,<b>Singapore</b><br/>0.91%,6
Turkey,0.60882800608828,TR,Senior,Neurological disorders,TUR,Turkey,<b>Turkey</b><br/>0.61%,5
Denmark,0.570776255707763,DK,Senior,Neurological disorders,DNK,Denmark,<b>Denmark</b><br/>0.57%,5
Chile,0.45662100456621,CL,Senior,Neurological disorders,CHL,Chile,<b>Chile</b><br/>0.46%,5
Poland,0.45662100456621,PL,Senior,Neurological disorders,POL,Poland,<b>Poland</b><br/>0.46%,5
Portugal,0.45662100456621,PT,Senior,Neurological disorders,PRT,Portugal,<b>Portugal</b><br/>0.46%,5
Switzerland,0.45662100456621,CH,Senior,Neurological disorders,CHE,Switzerland,<b>Switzerland</b><br/>0.46%,5
United States,26.9803503428928,US,All,Skin disease,USA,USA,<b>United States</b><br/>26.98%,8
China,11.9047866973158,CN,All,Skin disease,CHN,China,<b>China</b><br/>11.9%,8
United Kingdom,11.0957590119498,GB,All,Skin disease,GBR,UK,<b>United Kingdom</b><br/>11.1%,8
Japan,9.26293469096348,JP,All,Skin disease,JPN,Japan,<b>Japan</b><br/>9.26%,8
Germany,8.28814248615195,DE,All,Skin disease,DEU,Germany,<b>Germany</b><br/>8.29%,8
Australia,4.06126333923135,AU,All,Skin disease,AUS,Australia,<b>Australia</b><br/>4.06%,7
South Korea,3.97189093168695,KR,All,Skin disease,KOR,South Korea,<b>South Korea</b><br/>3.97%,7
Netherlands,3.868893211045,NL,All,Skin disease,NLD,Netherlands,<b>Netherlands</b><br/>3.87%,7
Spain,3.24299110044893,ES,All,Skin disease,ESP,Spain,<b>Spain</b><br/>3.24%,7
Iceland,2.76185356321004,IS,All,Skin disease,ISL,Iceland,<b>Iceland</b><br/>2.76%,7
France,2.60330819517925,FR,All,Skin disease,FRA,France,<b>France</b><br/>2.6%,7
Canada,1.25637072359422,CA,All,Skin disease,CAN,Canada,<b>Canada</b><br/>1.26%,6
Italy,1.23897114090291,IT,All,Skin disease,ITA,Italy,<b>Italy</b><br/>1.24%,6
Turkey,1.01835706674416,TR,All,Skin disease,TUR,Turkey,<b>Turkey</b><br/>1.02%,6
Sweden,0.969156707064369,SE,All,Skin disease,SWE,Sweden,<b>Sweden</b><br/>0.97%,6
Israel,0.917458745706139,IL,All,Skin disease,ISR,Israel,<b>Israel</b><br/>0.92%,6
Finland,0.670083436196606,FI,All,Skin disease,FIN,Finland,<b>Finland</b><br/>0.67%,5
Singapore,0.62452666024917,SG,All,Skin disease,SGP,Singapore,<b>Singapore</b><br/>0.62%,5
Norway,0.61050928741284,NO,All,Skin disease,NOR,Norway,<b>Norway</b><br/>0.61%,5
Estonia,0.500250391814651,EE,All,Skin disease,EST,Estonia,<b>Estonia</b><br/>0.5%,5
United States,30.5779569892473,US,First,Skin disease,USA,USA,<b>United States</b><br/>30.58%,8
China,12.6702508960573,CN,First,Skin disease,CHN,China,<b>China</b><br/>12.67%,8
United Kingdom,12.2311827956989,GB,First,Skin disease,GBR,UK,<b>United Kingdom</b><br/>12.23%,8
Japan,8.69175627240144,JP,First,Skin disease,JPN,Japan,<b>Japan</b><br/>8.69%,8
Germany,8.53494623655914,DE,First,Skin disease,DEU,Germany,<b>Germany</b><br/>8.53%,8
Spain,4.03225806451613,ES,First,Skin disease,ESP,Spain,<b>Spain</b><br/>4.03%,7
Iceland,3.83064516129032,IS,First,Skin disease,ISL,Iceland,<b>Iceland</b><br/>3.83%,7
South Korea,3.76344086021505,KR,First,Skin disease,KOR,South Korea,<b>South Korea</b><br/>3.76%,7
Australia,3.60663082437276,AU,First,Skin disease,AUS,Australia,<b>Australia</b><br/>3.61%,7
Netherlands,3.20340501792115,NL,First,Skin disease,NLD,Netherlands,<b>Netherlands</b><br/>3.2%,7
France,2.82258064516129,FR,First,Skin disease,FRA,France,<b>France</b><br/>2.82%,7
Canada,2.01612903225806,CA,First,Skin disease,CAN,Canada,<b>Canada</b><br/>2.02%,6
Israel,0.806451612903226,IL,First,Skin disease,ISR,Israel,<b>Israel</b><br/>0.81%,5
Finland,0.627240143369176,FI,First,Skin disease,FIN,Finland,<b>Finland</b><br/>0.63%,5
Portugal,0.537634408602151,PT,First,Skin disease,PRT,Portugal,<b>Portugal</b><br/>0.54%,5
Norway,0.425627240143369,NO,First,Skin disease,NOR,Norway,<b>Norway</b><br/>0.43%,5
Singapore,0.32258064516129,SG,First,Skin disease,SGP,Singapore,<b>Singapore</b><br/>0.32%,4
Benin,0.268817204301075,BJ,First,Skin disease,BEN,Benin,<b>Benin</b><br/>0.27%,4
Guinea,0.268817204301075,GN,First,Skin disease,GIN,Guinea,<b>Guinea</b><br/>0.27%,4
Ireland,0.268817204301075,IE,First,Skin disease,IRL,Ireland,<b>Ireland</b><br/>0.27%,4
United States,30.336661546339,US,Senior,Skin disease,USA,USA,<b>United States</b><br/>30.34%,8
United Kingdom,14.5228494623656,GB,Senior,Skin disease,GBR,UK,<b>United Kingdom</b><br/>14.52%,8
China,12.2215821812596,CN,Senior,Skin disease,CHN,China,<b>China</b><br/>12.22%,8
Germany,8.66935483870968,DE,Senior,Skin disease,DEU,Germany,<b>Germany</b><br/>8.67%,8
Japan,8.46774193548387,JP,Senior,Skin disease,JPN,Japan,<b>Japan</b><br/>8.47%,8
South Korea,4.30107526881721,KR,Senior,Skin disease,KOR,South Korea,<b>South Korea</b><br/>4.3%,8
Australia,4.00985663082437,AU,Senior,Skin disease,AUS,Australia,<b>Australia</b><br/>4.01%,7
Iceland,3.83064516129032,IS,Senior,Skin disease,ISL,Iceland,<b>Iceland</b><br/>3.83%,7
Netherlands,3.31093189964158,NL,Senior,Skin disease,NLD,Netherlands,<b>Netherlands</b><br/>3.31%,7
Spain,3.17204301075269,ES,Senior,Skin disease,ESP,Spain,<b>Spain</b><br/>3.17%,7
France,2.28494623655914,FR,Senior,Skin disease,FRA,France,<b>France</b><br/>2.28%,7
Canada,0.84005376344086,CA,Senior,Skin disease,CAN,Canada,<b>Canada</b><br/>0.84%,6
Israel,0.806451612903226,IL,Senior,Skin disease,ISR,Israel,<b>Israel</b><br/>0.81%,5
Turkey,0.716845878136201,TR,Senior,Skin disease,TUR,Turkey,<b>Turkey</b><br/>0.72%,5
Singapore,0.560035842293907,SG,Senior,Skin disease,SGP,Singapore,<b>Singapore</b><br/>0.56%,5
Finland,0.537634408602151,FI,Senior,Skin disease,FIN,Finland,<b>Finland</b><br/>0.54%,5
Ireland,0.537634408602151,IE,Senior,Skin disease,IRL,Ireland,<b>Ireland</b><br/>0.54%,5
Portugal,0.537634408602151,PT,Senior,Skin disease,PRT,Portugal,<b>Portugal</b><br/>0.54%,5
Norway,0.17921146953405,NO,Senior,Skin disease,NOR,Norway,<b>Norway</b><br/>0.18%,4
Sweden,0.0896057347670251,SE,Senior,Skin disease,SWE,Sweden,<b>Sweden</b><br/>0.09%,3
United States,68.2509214447143,US,All,Substance use,USA,USA,<b>United States</b><br/>68.25%,8
Germany,5.3229034319298,DE,All,Substance use,DEU,Germany,<b>Germany</b><br/>5.32%,8
United Kingdom,4.51745014245014,GB,All,Substance use,GBR,UK,<b>United Kingdom</b><br/>4.52%,8
Japan,4.24114331723027,JP,All,Substance use,JPN,Japan,<b>Japan</b><br/>4.24%,7
Australia,3.22986272986273,AU,All,Substance use,AUS,Australia,<b>Australia</b><br/>3.23%,7
China,2.95131257631258,CN,All,Substance use,CHN,China,<b>China</b><br/>2.95%,7
Netherlands,1.82193990723936,NL,All,Substance use,NLD,Netherlands,<b>Netherlands</b><br/>1.82%,6
Finland,1.68993321966468,FI,All,Substance use,FIN,Finland,<b>Finland</b><br/>1.69%,6
Mexico,1.66666666666667,MX,All,Substance use,MEX,Mexico,<b>Mexico</b><br/>1.67%,6
South Korea,1.66666666666667,KR,All,Substance use,KOR,South Korea,<b>South Korea</b><br/>1.67%,6
Iceland,1.45424836601307,IS,All,Substance use,ISL,Iceland,<b>Iceland</b><br/>1.45%,6
Italy,0.768356075373619,IT,All,Substance use,ITA,Italy,<b>Italy</b><br/>0.77%,5
United Arab Emirates,0.75,AE,All,Substance use,ARE,United Arab Emirates,<b>United Arab Emirates</b><br/>0.75%,5
Denmark,0.687830687830688,DK,All,Substance use,DNK,Denmark,<b>Denmark</b><br/>0.69%,5
Turkey,0.280982905982906,TR,All,Substance use,TUR,Turkey,<b>Turkey</b><br/>0.28%,4
Switzerland,0.257936507936508,CH,All,Substance use,CHE,Switzerland,<b>Switzerland</b><br/>0.26%,4
Spain,0.175438596491228,ES,All,Substance use,ESP,Spain,<b>Spain</b><br/>0.18%,4
Austria,0.087719298245614,AT,All,Substance use,AUT,Austria,<b>Austria</b><br/>0.09%,3
Canada,0.0617283950617284,CA,All,Substance use,CAN,Canada,<b>Canada</b><br/>0.06%,3
New Zealand,0.0584795321637427,NZ,All,Substance use,NZL,New Zealand,<b>New Zealand</b><br/>0.06%,2
Sweden,0.0584795321637427,SE,All,Substance use,SWE,Sweden,<b>Sweden</b><br/>0.06%,2
United States,69.4444444444445,US,First,Substance use,USA,USA,<b>United States</b><br/>69.44%,8
United Kingdom,5,GB,First,Substance use,GBR,UK,<b>United Kingdom</b><br/>5%,8
Germany,4.72222222222222,DE,First,Substance use,DEU,Germany,<b>Germany</b><br/>4.72%,8
Australia,4.44444444444444,AU,First,Substance use,AUS,Australia,<b>Australia</b><br/>4.44%,8
China,3.33333333333333,CN,First,Substance use,CHN,China,<b>China</b><br/>3.33%,7
Japan,2.36111111111111,JP,First,Substance use,JPN,Japan,<b>Japan</b><br/>2.36%,7
Netherlands,2.08333333333333,NL,First,Substance use,NLD,Netherlands,<b>Netherlands</b><br/>2.08%,7
Finland,1.94444444444444,FI,First,Substance use,FIN,Finland,<b>Finland</b><br/>1.94%,6
Iceland,1.66666666666667,IS,First,Substance use,ISL,Iceland,<b>Iceland</b><br/>1.67%,6
Mexico,1.66666666666667,MX,First,Substance use,MEX,Mexico,<b>Mexico</b><br/>1.67%,6
South Korea,1.66666666666667,KR,First,Substance use,KOR,South Korea,<b>South Korea</b><br/>1.67%,6
Denmark,0.833333333333333,DK,First,Substance use,DNK,Denmark,<b>Denmark</b><br/>0.83%,5
Italy,0.833333333333333,IT,First,Substance use,ITA,Italy,<b>Italy</b><br/>0.83%,5
United States,67.7083333333334,US,Senior,Substance use,USA,USA,<b>United States</b><br/>67.71%,8
Australia,5,AU,Senior,Substance use,AUS,Australia,<b>Australia</b><br/>5%,8
Japan,4.58333333333333,JP,Senior,Substance use,JPN,Japan,<b>Japan</b><br/>4.58%,8
Germany,4.16666666666667,DE,Senior,Substance use,DEU,Germany,<b>Germany</b><br/>4.17%,7
United Kingdom,4.16666666666667,GB,Senior,Substance use,GBR,UK,<b>United Kingdom</b><br/>4.17%,7
Iceland,3.33333333333333,IS,Senior,Substance use,ISL,Iceland,<b>Iceland</b><br/>3.33%,7
China,2.5,CN,Senior,Substance use,CHN,China,<b>China</b><br/>2.5%,7
Netherlands,1.875,NL,Senior,Substance use,NLD,Netherlands,<b>Netherlands</b><br/>1.88%,6
Finland,1.66666666666667,FI,Senior,Substance use,FIN,Finland,<b>Finland</b><br/>1.67%,6
Mexico,1.66666666666667,MX,Senior,Substance use,MEX,Mexico,<b>Mexico</b><br/>1.67%,6
South Korea,1.66666666666667,KR,Senior,Substance use,KOR,South Korea,<b>South Korea</b><br/>1.67%,6
Italy,0.833333333333333,IT,Senior,Substance use,ITA,Italy,<b>Italy</b><br/>0.83%,5
United Arab Emirates,0.833333333333333,AE,Senior,Substance use,ARE,United Arab Emirates,<b>United Arab Emirates</b><br/>0.83%,6
