DATE,Income_group,total_Income,Prop,Trait
2005,HIC,1550,1,All traits
2006,HIC,5145,1,All traits
2007,HIC,453169.666666667,0.981685672033228,All traits
2007,UMIC,8454.33333333333,0.0183143279667724,All traits
2008,HIC,746689.616666667,0.977791651225454,All traits
2008,UMIC,16959.3833333333,0.0222083487745461,All traits
2009,HIC,1105438.20793651,0.939046653338205,All traits
2009,LIC,5503,0.00467468348408756,All traits
2009,UMIC,66250.7920634921,0.0562786631777077,All traits
2010,HIC,1855444.56045752,0.939017724435999,All traits
2010,UMIC,120497.439542484,0.0609822755640012,All traits
2011,HIC,2280419.79254079,0.904018013818144,All traits
2011,LMIC,44464.75,0.0176269891672593,All traits
2011,UMIC,197653.457459207,0.078354997014597,All traits
2012,HIC,2165288.85351732,0.892149903016802,All traits
2012,LIC,4957,0.00204240051486457,All traits
2012,LMIC,27912.75,0.0115007090924523,All traits
2012,UMIC,228887.396482684,0.0943069873758816,All traits
2013,HIC,2474710.02829719,0.917770046371247,All traits
2013,LIC,8210.66666666667,0.00304500480510461,All traits
2013,LMIC,45094.9333333333,0.016723890307633,All traits
2013,UMIC,168422.371702808,0.0624610585160155,All traits
2014,HIC,1812426.91666667,0.872421519411219,All traits
2014,LMIC,19017.6666666667,0.00915425692281354,All traits
2014,UMIC,246022.416666667,0.118424223665968,All traits
2015,HIC,5140267.40555556,0.943802843885422,All traits
2015,LMIC,110953.066666667,0.0203720568592659,All traits
2015,UMIC,195115.527777778,0.0358250992553118,All traits
2016,HIC,5099226.3021978,0.939182621784939,All traits
2016,LIC,2008,0.000369836244320306,All traits
2016,LMIC,101443,0.0186839134126418,All traits
2016,UMIC,226752.697802198,0.0417636285580987,All traits
2017,HIC,10289880.725558,0.962651020605083,All traits
2017,LIC,5726,0.000535685484700875,All traits
2017,LMIC,93103.6363690977,0.00871014086199688,All traits
2017,UMIC,300397.638072941,0.0281031530482189,All traits
2018,HIC,22131293.4763395,0.981221121361225,All traits
2018,LIC,2335,0.000103525413949615,All traits
2018,LMIC,144253.428571429,0.00639567276509995,All traits
2018,UMIC,276966.329131653,0.0122796804597258,All traits
2019,HIC,25716393.1653254,0.985188085464157,All traits
2019,LMIC,32536.5714285714,0.00124646727506495,All traits
2019,UMIC,354099.263246068,0.0135654472607783,All traits
2020,HIC,15972112.2634921,0.969084237576579,All traits
2020,LIC,54.75,3.32187509904952e-06,All traits
2020,LMIC,76340.6111111111,0.00463185342641503,All traits
2020,UMIC,433147.575396825,0.0262805871219066,All traits
2021,HIC,28553979.2516817,0.98728627781427,All traits
2021,LIC,3564.79166666667,0.000123256722460474,All traits
2021,LMIC,8009.79642857143,0.00027694781285339,All traits
2021,UMIC,353754.968656691,0.012231480004413,All traits
2021,"",2372.66666666667,8.20376460030299e-05,All traits
2007,HIC,109172,0.971791242734175,CVD
2007,UMIC,3169,0.0282087572658246,CVD
2008,HIC,45422,1,CVD
2009,HIC,238914,0.977949332994953,CVD
2009,UMIC,5387,0.0220506670050471,CVD
2010,HIC,307506,0.991958038574318,CVD
2010,UMIC,2493,0.00804196142568202,CVD
2011,HIC,694010.5,0.967785366860407,CVD
2011,LMIC,10488.5,0.0146260277334642,CVD
2011,UMIC,12613,0.017588605406129,CVD
2012,HIC,390574,0.892165507033181,CVD
2012,LMIC,2465,0.00563065635407577,CVD
2012,UMIC,44743,0.102203836612743,CVD
2013,HIC,495597,0.973469075080926,CVD
2013,UMIC,13507,0.0265309249190735,CVD
2014,HIC,147741,0.611298224127373,CVD
2014,UMIC,92730,0.383682825507688,CVD
2014,"",1213,0.00501895036493934,CVD
2015,HIC,2185585.76666667,0.942248437156227,CVD
2015,LMIC,104441.066666667,0.0450265706075148,CVD
2015,UMIC,29516.1666666667,0.012724992236258,CVD
2016,HIC,2404880,0.948200812536274,CVD
2016,LMIC,99201,0.0391131652325317,CVD
2016,UMIC,32175,0.0126860222311943,CVD
2017,HIC,3863182.30836237,0.979939782932494,CVD
2017,LIC,3281,0.000832262671332343,CVD
2017,LMIC,41763.4442508711,0.0105937688742058,CVD
2017,UMIC,34038.2473867596,0.0086341855219676,CVD
2018,HIC,6911492.33333333,0.977048327343902,CVD
2018,LMIC,77645,0.0109763439960338,CVD
2018,UMIC,84711.6666666667,0.0119753286600642,CVD
2019,HIC,3786917,0.998631104388377,CVD
2019,LMIC,2078,0.000547980173560458,CVD
2019,UMIC,3113,0.000820915438062418,CVD
2020,HIC,1831070,0.999140586420174,CVD
2020,LMIC,581.5,0.000317300950265873,CVD
2020,UMIC,993.5,0.000542112629560008,CVD
2021,HIC,7820965.18843363,0.998375712121086,CVD
2021,LIC,1192.125,0.000152179253728493,CVD
2021,LMIC,1192.125,0.000152179253728493,CVD
2021,UMIC,10339.9166666667,0.00131992937145697,CVD
2007,HIC,140479,1,Diabetes and CKD
2008,HIC,182732.2,0.958539835078369,Diabetes and CKD
2008,UMIC,7903.8,0.0414601649216307,Diabetes and CKD
2009,HIC,112829,1,Diabetes and CKD
2010,HIC,421406.833333333,0.949236350912918,Diabetes and CKD
2010,UMIC,22536.1666666667,0.0507636490870825,Diabetes and CKD
2011,HIC,202939.833333333,0.764797695630819,Diabetes and CKD
2011,LMIC,31076.5,0.117114689599813,Diabetes and CKD
2011,UMIC,31334.6666666667,0.118087614769368,Diabetes and CKD
2012,HIC,224340.5,0.865584656105071,Diabetes and CKD
2012,LMIC,14554,0.0561544575542677,Diabetes and CKD
2012,UMIC,20283.5,0.0782608863406616,Diabetes and CKD
2013,HIC,300475.5,0.814736131409622,Diabetes and CKD
2013,LMIC,36346.6,0.0985534204082961,Diabetes and CKD
2013,UMIC,31978.9,0.086710448182082,Diabetes and CKD
2014,HIC,236372.7,0.926406819517931,Diabetes and CKD
2014,LMIC,10436.4,0.0409029982363316,Diabetes and CKD
2014,UMIC,8340.9,0.0326901822457378,Diabetes and CKD
2015,HIC,36925,0.957325451764279,Diabetes and CKD
2015,LMIC,699,0.0181224235824843,Diabetes and CKD
2015,UMIC,947,0.0245521246532369,Diabetes and CKD
2016,HIC,236419,1,Diabetes and CKD
2017,HIC,425003.6375,0.874323973346719,Diabetes and CKD
2017,LMIC,24958.8,0.0513456245088399,Diabetes and CKD
2017,UMIC,36131.5625,0.0743304021444412,Diabetes and CKD
2018,HIC,1180034.42857143,0.912632968732737,Diabetes and CKD
2018,LMIC,65694.4285714286,0.0508077560490554,Diabetes and CKD
2018,UMIC,47271.1428571429,0.0365592752182079,Diabetes and CKD
2019,HIC,4660400.40769231,0.974047095455584,Diabetes and CKD
2019,LMIC,3260.25,0.000681408626974941,Diabetes and CKD
2019,UMIC,120913.342307692,0.0252714959174406,Diabetes and CKD
2020,HIC,2229170.44444444,0.901395679391499,Diabetes and CKD
2020,LMIC,50524.1111111111,0.020430118107008,Diabetes and CKD
2020,UMIC,193326.444444444,0.0781742025014929,Diabetes and CKD
2021,HIC,6500450.42027846,0.999755615138991,Diabetes and CKD
2021,UMIC,1589,0.000244384861009032,Diabetes and CKD
2006,HIC,2679,1,Digestive diseases
2007,HIC,216740,1,Digestive diseases
2008,HIC,351539.2,0.978010978096666,Digestive diseases
2008,UMIC,7903.8,0.0219890219033338,Digestive diseases
2009,HIC,143858,0.927697169020442,Digestive diseases
2009,LIC,5503,0.0354871993293351,Digestive diseases
2009,UMIC,5709,0.0368156316502225,Digestive diseases
2010,HIC,474542.199346405,0.87567805841223,Digestive diseases
2010,UMIC,67371.8006535948,0.12432194158777,Digestive diseases
2011,HIC,372329.333333333,0.789475618582349,Digestive diseases
2011,LMIC,31696.5,0.0672082796173158,Digestive diseases
2011,UMIC,67590.1666666667,0.143316101800335,Digestive diseases
2012,HIC,680159.166666667,0.83763237857378,Digestive diseases
2012,LIC,3954,0.00486944613436913,Digestive diseases
2012,LMIC,18655,0.0229740813446272,Digestive diseases
2012,UMIC,109233.833333333,0.134524093947223,Digestive diseases
2013,HIC,445356.5,0.813843823210154,Digestive diseases
2013,LIC,8210.66666666667,0.01500416037737,Digestive diseases
2013,LMIC,40043.9333333333,0.073176225788492,Digestive diseases
2013,UMIC,53614.9,0.0979757906239835,Digestive diseases
2014,HIC,564545.95,0.878248359932733,Digestive diseases
2014,LMIC,13542.4,0.0210675332797145,Digestive diseases
2014,UMIC,64720.65,0.100684106787553,Digestive diseases
2015,HIC,711153.5,0.893019625866613,Digestive diseases
2015,LMIC,7135,0.00895966205686717,Digestive diseases
2015,UMIC,78058.5,0.0980207120765194,Digestive diseases
2016,HIC,722215.404761905,0.877017820206566,Digestive diseases
2016,LIC,646,0.000784466113735443,Digestive diseases
2016,LMIC,880,0.00106862256979441,Digestive diseases
2016,UMIC,99748.5952380952,0.121129091109904,Digestive diseases
2017,HIC,1226673.68988095,0.933258234281183,Digestive diseases
2017,LIC,2445,0.00186016574875666,Digestive diseases
2017,LMIC,28762.5714285714,0.0218826790256014,Digestive diseases
2017,UMIC,56517.7386904762,0.0429989209444592,Digestive diseases
2018,HIC,4945827.76190476,0.966768806156253,Digestive diseases
2018,LMIC,66608.4285714286,0.0130200553011462,Digestive diseases
2018,UMIC,103396.80952381,0.0202111385426009,Digestive diseases
2019,HIC,5458822.33333333,0.987078298404138,Digestive diseases
2019,LMIC,6113.25,0.00110541359275827,Digestive diseases
2019,UMIC,65347.4166666667,0.0118162880031034,Digestive diseases
2020,HIC,427854.444444445,0.608849600618797,Digestive diseases
2020,LIC,54.75,7.79108784931823e-05,Digestive diseases
2020,LMIC,49446.1111111111,0.0703632868445327,Digestive diseases
2020,UMIC,225370.694444444,0.320709201658178,Digestive diseases
2021,HIC,6079890.71978284,0.997522717676964,Digestive diseases
2021,LMIC,1571.67142857143,0.000257862850992132,Digestive diseases
2021,UMIC,13527.3388888889,0.00221941947204336,Digestive diseases
2007,HIC,5801,1,Chronic respiratory disease
2008,HIC,56081.25,0.96613520078557,Chronic respiratory disease
2008,UMIC,1965.75,0.0338647992144297,Chronic respiratory disease
2009,HIC,78656.2857142857,0.88955560510151,Chronic respiratory disease
2009,UMIC,9765.71428571429,0.11044439489849,Chronic respiratory disease
2010,HIC,62439.75,0.790236540359936,Chronic respiratory disease
2010,UMIC,16574.25,0.209763459640064,Chronic respiratory disease
2011,HIC,195632.833333333,0.900330587387056,Chronic respiratory disease
2011,LMIC,574.75,0.00264508260849556,Chronic respiratory disease
2011,UMIC,21082.4166666667,0.0970243300044487,Chronic respiratory disease
2012,HIC,160397.4375,0.761451326152283,Chronic respiratory disease
2012,UMIC,50249.5625,0.238548673847717,Chronic respiratory disease
2013,HIC,282216,0.905252218095036,Chronic respiratory disease
2013,UMIC,29538,0.0947477819049635,Chronic respiratory disease
2014,HIC,220987.133333333,0.875498224470742,Chronic respiratory disease
2014,LMIC,774.6,0.00306878013414523,Chronic respiratory disease
2014,UMIC,30651.2666666667,0.121432995395113,Chronic respiratory disease
2015,HIC,149143.833333333,0.956050213675214,Chronic respiratory disease
2015,LMIC,301,0.00192948717948718,Chronic respiratory disease
2015,UMIC,6555.16666666667,0.0420202991452991,Chronic respiratory disease
2016,HIC,249307.654761905,0.825016644644522,Chronic respiratory disease
2016,UMIC,52877.3452380952,0.174983355355478,Chronic respiratory disease
2017,HIC,597681.785714286,0.980539199326522,Chronic respiratory disease
2017,UMIC,11862.2142857143,0.0194608006734777,Chronic respiratory disease
2018,HIC,1933457,0.998911428400197,Chronic respiratory disease
2018,UMIC,2107,0.00108857159980243,Chronic respiratory disease
2019,HIC,7493764.7797619,0.989875684376659,Chronic respiratory disease
2019,LMIC,1483.75,0.000195993347784334,Chronic respiratory disease
2019,UMIC,75161.4702380952,0.00992832227555644,Chronic respiratory disease
2020,HIC,2115358.78571429,0.972229196543719,Chronic respiratory disease
2020,UMIC,60423.2142857143,0.0277708034562811,Chronic respiratory disease
2021,HIC,3996661.53138957,0.999023936806273,Chronic respiratory disease
2021,UMIC,3904.80555555556,0.000976063193727043,Chronic respiratory disease
2007,HIC,6918,1,Skin disease
2008,HIC,25631,1,Skin disease
2009,HIC,68868,0.814793781500674,Skin disease
2009,UMIC,15654,0.185206218499326,Skin disease
2010,HIC,73546,0.766519364655855,Skin disease
2010,UMIC,22402,0.233480635344145,Skin disease
2011,HIC,263712,0.935457438091285,Skin disease
2011,UMIC,18195,0.0645425619087146,Skin disease
2012,HIC,105101,0.587921708145239,Skin disease
2012,LIC,1003,0.00561065521041356,Skin disease
2012,LMIC,372,0.0020809209753478,Skin disease
2012,UMIC,72291,0.404386715668999,Skin disease
2013,HIC,365396,0.985660027190919,Skin disease
2013,UMIC,5316,0.0143399728090809,Skin disease
2014,HIC,289764,0.826249365550987,Skin disease
2014,UMIC,60934,0.173750634449013,Skin disease
2015,HIC,985467.133333333,0.944561028856639,Skin disease
2015,LMIC,76,7.28452890664014e-05,Skin disease
2015,UMIC,57763.8666666667,0.0553661258542947,Skin disease
2016,HIC,851874.5,0.991498279171162,Skin disease
2016,UMIC,7304.5,0.00850172082883776,Skin disease
2017,HIC,1058040.33333333,0.998304770765064,Skin disease
2017,LIC,1763,0.00166346334389156,Skin disease
2017,UMIC,33.6666666666667,3.17658910442518e-05,Skin disease
2018,HIC,949114,0.985756542186143,Skin disease
2018,UMIC,13714,0.0142434578138567,Skin disease
2019,HIC,1688844,0.960629330056995,Skin disease
2019,LMIC,3283,0.00186739929240185,Skin disease
2019,UMIC,65933,0.0375032706506035,Skin disease
2020,HIC,992588,1,Skin disease
2021,HIC,3414493.67378723,0.998480097739699,Skin disease
2021,LMIC,2873.33333333333,0.000840231794696299,Skin disease
2021,UMIC,2324.26315789474,0.000679670465604774,Skin disease
2005,HIC,1550,1,Neurological disorders
2006,HIC,537,1,Neurological disorders
2007,HIC,3242,1,Neurological disorders
2008,HIC,19289,1,Neurological disorders
2009,HIC,86383,0.996286258001269,Neurological disorders
2009,UMIC,322,0.00371374199873133,Neurological disorders
2010,HIC,150843,0.983741587102833,Neurological disorders
2010,UMIC,2493,0.016258412897167,Neurological disorders
2011,HIC,239584,0.981439075845401,Neurological disorders
2011,UMIC,4531,0.0185609241545993,Neurological disorders
2012,HIC,89725.25,0.906709479875097,Neurological disorders
2012,LMIC,6420.75,0.0648842426508483,Neurological disorders
2012,UMIC,2811,0.0284062774740544,Neurological disorders
2013,HIC,489570,0.996332717370953,Neurological disorders
2013,UMIC,1802,0.00366728262904683,Neurological disorders
2014,HIC,51789,1,Neurological disorders
2015,HIC,42570.1333333333,0.945372714486638,Neurological disorders
2015,UMIC,2459.86666666667,0.0546272855133615,Neurological disorders
2016,HIC,845254,0.966299430797741,Neurological disorders
2016,UMIC,29479,0.0337005692022594,Neurological disorders
2017,HIC,345623,0.989175884718307,Neurological disorders
2017,UMIC,3782,0.0108241152816932,Neurological disorders
2018,HIC,933720,1,Neurological disorders
2019,HIC,1446667,0.998565655101484,Neurological disorders
2019,LMIC,2078,0.00143434489851561,Neurological disorders
2020,HIC,2349587,0.985988114866404,Neurological disorders
2020,UMIC,33390,0.0140118851335955,Neurological disorders
2021,HIC,4958439.03498434,0.993402631146529,Neurological disorders
2021,UMIC,32929.9019607843,0.00659736885347098,Neurological disorders
2006,HIC,1929,1,Mental disorders
2007,HIC,45320,1,Mental disorders
2008,HIC,113860.166666667,0.941382113821138,Mental disorders
2008,UMIC,7089.83333333333,0.0586178861788618,Mental disorders
2009,HIC,147954.222222222,0.965531743338525,Mental disorders
2009,UMIC,5281.77777777778,0.034468256661475,Mental disorders
2010,HIC,157677,0.978837391207181,Mental disorders
2010,UMIC,3409,0.0211626087928187,Mental disorders
2011,HIC,344433.356643357,0.876920577233224,Mental disorders
2011,UMIC,48342.6433566434,0.123079422766776,Mental disorders
2012,HIC,175354.713636364,0.933562154010262,Mental disorders
2012,LMIC,6420.75,0.0341831084894109,Mental disorders
2012,UMIC,6058.53636363636,0.0322547375003267,Mental disorders
2013,HIC,344300.204761905,0.939653190293726,Mental disorders
2013,UMIC,22111.7952380952,0.0603468097062739,Mental disorders
2014,HIC,206811,0.972139439122301,Mental disorders
2014,UMIC,5927,0.0278605608776993,Mental disorders
2015,HIC,108222.5,0.969527162617358,Mental disorders
2015,UMIC,3401.5,0.0304728373826417,Mental disorders
2016,HIC,396780.25,0.955003911185992,Mental disorders
2016,UMIC,18694.75,0.0449960888140081,Mental disorders
2017,HIC,1764691,0.977045649586136,Mental disorders
2017,UMIC,41459,0.0229543504138637,Mental disorders
2018,HIC,3548021.23404255,0.987893091787347,Mental disorders
2018,LIC,1295,0.000360573251814217,Mental disorders
2018,UMIC,42187,0.0117463349608389,Mental disorders
2019,HIC,6396887.78571429,0.982011961768605,Mental disorders
2019,LMIC,25812.5714285714,0.00396259161579669,Mental disorders
2019,UMIC,91362.6428571429,0.0140254466155981,Mental disorders
2020,HIC,6149993.53333333,0.991469697435266,Mental disorders
2020,LMIC,23960,0.00386270551697203,Mental disorders
2020,UMIC,28952.6666666667,0.00466759704776233,Mental disorders
2021,HIC,5812132.101651,0.955676279757048,Mental disorders
2021,UMIC,269563.368627451,0.0443237202429521,Mental disorders
2007,HIC,47247,1,Musculoskeletal disorders
2008,HIC,31384,1,Musculoskeletal disorders
2009,HIC,15788,0.903307014532555,Musculoskeletal disorders
2009,UMIC,1690,0.0966929854674448,Musculoskeletal disorders
2010,HIC,256182,0.995283531989619,Musculoskeletal disorders
2010,UMIC,1214,0.00471646801038089,Musculoskeletal disorders
2011,HIC,91512,0.886950453593859,Musculoskeletal disorders
2011,UMIC,11664,0.113049546406141,Musculoskeletal disorders
2012,HIC,215133,1,Musculoskeletal disorders
2013,HIC,383931,0.98557313419809,Musculoskeletal disorders
2013,LMIC,3542,0.00909251933636417,Musculoskeletal disorders
2013,UMIC,2078,0.00533434646554623,Musculoskeletal disorders
2014,HIC,162548,0.996096454943775,Musculoskeletal disorders
2014,UMIC,637,0.00390354505622453,Musculoskeletal disorders
2015,HIC,110348,1,Musculoskeletal disorders
2016,HIC,210282,0.995832583514079,Musculoskeletal disorders
2016,LMIC,880,0.00416741648592076,Musculoskeletal disorders
2017,HIC,534049,0.997519504946981,Musculoskeletal disorders
2017,UMIC,1328,0.00248049505301871,Musculoskeletal disorders
2018,HIC,2694783,1,Musculoskeletal disorders
2019,HIC,2020012,0.997490486861351,Musculoskeletal disorders
2019,LMIC,2078,0.00102612520702743,Musculoskeletal disorders
2019,UMIC,3004,0.00148338793162194,Musculoskeletal disorders
2006,HIC,1929,1,Substance use
2007,HIC,454,1,Substance use
2008,HIC,26094,0.989008489993936,Substance use
2008,UMIC,290,0.0109915100060643,Substance use
2009,HIC,3854,1,Substance use
2010,HIC,11187,1,Substance use
2011,HIC,24823,1,Substance use
2012,HIC,30763,1,Substance use
2013,HIC,28014,1,Substance use
2014,HIC,10294,1,Substance use
2015,HIC,27702,1,Substance use
2016,HIC,16397,0.970179279332584,Substance use
2016,UMIC,504,0.0298207206674161,Substance use
2017,HIC,52540,1,Substance use
2018,HIC,25255,0.986561975077151,Substance use
2018,UMIC,344,0.0134380249228486,Substance use
2019,HIC,647655,1,Substance use
2020,HIC,1990,1,Substance use
2021,HIC,1051214.03694512,0.997820618770128,Substance use
2021,UMIC,2296,0.00217938122987204,Substance use
2007,HIC,169174.666666667,0.969704612327563,Cancer
2007,UMIC,5285.33333333333,0.0302953876724369,Cancer
2008,HIC,276481.25,0.992940308209462,Cancer
2008,UMIC,1965.75,0.00705969179053824,Cancer
2009,HIC,443244.985714286,0.938456035964044,Cancer
2009,UMIC,29068.0142857143,0.0615439640359556,Cancer
2010,HIC,432519.611111111,0.884362543804347,Cancer
2010,UMIC,56555.3888888889,0.115637456195653,Cancer
2011,HIC,560433.769230769,0.895018556032338,Cancer
2011,LMIC,1705,0.00272290272609675,Cancer
2011,UMIC,64031.2307692308,0.102258541241565,Cancer
2012,HIC,673248.639880953,0.837057430873093,Cancer
2012,UMIC,131055.360119048,0.162942569126907,Cancer
2013,HIC,748748.323535288,0.903540103435557,Cancer
2013,LMIC,932,0.00112467614274699,Cancer
2013,UMIC,79002.6764647125,0.0953352204216962,Cancer
2014,HIC,790984.083333334,0.876350236190928,Cancer
2014,LMIC,3487.66666666667,0.00386406954512704,Cancer
2014,UMIC,108117.25,0.119785694263945,Cancer
2015,HIC,1993497.30555556,0.964766171799537,Cancer
2015,UMIC,72803.6944444444,0.0352338282004628,Cancer
2016,HIC,1577977.63553114,0.948341482012589,Cancer
2016,LIC,1362,0.000818542081596987,Cancer
2016,LMIC,1362,0.000818542081596987,Cancer
2016,UMIC,83232.3644688645,0.0500214338242169,Cancer
2017,HIC,2576785.94160035,0.933144084635397,Cancer
2017,LMIC,22577.6206896552,0.00817614410710761,Cancer
2017,UMIC,162038.437709991,0.0586797712574957,Cancer
2018,HIC,3084041.48039216,0.971068126059622,Cancer
2018,LIC,1040,0.000327463446105657,Cancer
2018,UMIC,90845.5196078431,0.0286044104942724,Cancer
2019,HIC,3411807.76358543,0.959450732321345,Cancer
2019,UMIC,144193.236414566,0.0405492676786553,Cancer
2020,HIC,3654391.5,0.972934472934473,Cancer
2020,UMIC,101659.5,0.0270655270655271,Cancer
2021,HIC,3418481.63197854,0.985595990533054,Cancer
2021,LIC,2372.66666666667,0.000684072932164514,Cancer
2021,LMIC,2986.7380952381,0.000861118299979059,Cancer
2021,UMIC,42227.386871345,0.0121747453026382,Cancer
2021,"",2372.66666666667,0.000684072932164514,Cancer
